微博ID,用户id,用户昵称,微博链接,是否为原创微博,内容,转发理由,原始用户,发布位置,发布时间,信息采集时间,关键词,发布工具,转发数,评论数,点赞数
IA00NDHid,3532490610,zzz周江夏,weibo.cn/3532490610/IA00NDHid,True,精品两房一厅，1600元/月【概述】:步行地铁9分钟【电器】:空调、热水器【周边】:大石地铁站A口 广州·大石 zzz周江夏的微博视频  显示地图 ,/,/,无,2020-03-24 00:32,2020/03/24 00:33:28,地铁,iPhone客户端,0,0,0
IA0128cJq,3532490610,zzz周江夏,weibo.cn/3532490610/IA0128cJq,True,精品一房一厅，1500元/月【概述】:步行地铁7分钟，光线很好【电器】:空调、热水器、【周边】:大石地铁站D口 广州·大石 zzz周江夏的微博视频  显示地图 ,/,/,无,2020-03-24 00:33,2020/03/24 00:34:04,地铁,iPhone客户端,0,0,0
IA010ownO,6395287012,极品小师弟,weibo.cn/6395287012/IA010ownO,True,出地铁口时拍下的！中国，越来越人性化了！ 极品小师弟的微博视频  ,/,/,无,2020-03-24 00:33,2020/03/24 00:34:04,地铁,微博云剪,0,0,0
IA010ovAa,5780139819,堇米遥,weibo.cn/5780139819/IA010ovAa,True,再b站刷到有up在做散寿司，突然就想北京了，具体一点，想念我近几年最爱去的地方，安定门了。研究生的宿舍离4号线比较近，我从宿舍出来搭乘四号线，经西直门中转到安定门，两个出口哪个都行，出了地铁口就直奔街头的炒栗子店，买个二三十块的糖炒栗子和五块的瓜子，接着要么去巷子里的沃野吃一份散寿司+雪耳，要么在隔壁的五道营胡同挑一家还没吃过的店。路上还能顺一杯metal的咖啡（第一次喝瑰夏被惊艳）。以前也喜欢去元古 吃甜点，但为节气这个概念买了几次单之后，觉得味道口感也没有很出色，不如省着钱回到安定门大街喝一杯酒（虽然我因为害怕尴尬很久没去april了，怂人），或者一路沿着五道营走到雍和宫，又继续走到马三，来一碗热热的牛奶鸡蛋醪糟，等菜的时候还能玩玩桌上的复古小游戏，接着就可以在马路对面坐地铁回寝室了。如果学校对面的好利来开业了，还能去挑挑第二天的早餐。 ,/,/,无,2020-03-24 00:33,2020/03/24 00:34:04,地铁,iPhone客户端,0,0,0
IA01nokhh,1685010184,里特道格,weibo.cn/1685010184/IA01nokhh,False,【#武汉地铁已做好恢复运营准备#】23日上午，汉口火车站等地铁站内，保洁人员用喷雾器对车站站厅、站台等处进行无死角地消杀。针对乘客接触频次高的售票机、闸机、扶手、座椅、车门等处进行全面消杀。对于市民最关心的地铁何时恢复运营，武汉地铁运营公司相关负责人表示，网传信息均非官方发布，具体运营恢复时间目前仍未最终确定。http://t.cn/A6ze0u3D ,//@人民日报:【人民微评：开往春天的地铁】尽管武汉地铁何时恢复运营，尚未最终确定，但全面消杀行为是一个信号，带给市民憧憬。被疫情裹挟的沉重时光终会过去，被打乱的生活也会重归正轨。谁都挡不住春光照拂人心，遏制不住人们对安宁生活的向往。终有一天，开往春天的地铁载着我们抵达美好未来。  ,人民日报,无,2020-03-24 00:33,2020/03/24 00:34:42,地铁,HUAWEI Mate 30 Pro,0,0,0
IA01l54gP,3532490610,zzz周江夏,weibo.cn/3532490610/IA01l54gP,True,精品单间，650元/月【概述】:步行地铁13分钟，光线好，楼层有6.7楼【电器】:空调、热水器【周边】:大石地铁站D口 广州·大石 zzz周江夏的微博视频  显示地图 ,/,/,无,2020-03-24 00:33,2020/03/24 00:34:42,地铁,iPhone客户端,0,0,0
IA01htYu0,2128014123,广州租房啊良,weibo.cn/2128014123/IA01htYu0,True,#广州租房[超话]# 广州21号线 棠东地铁站房源丰乐牌坊 全光线一室一厅5楼1200元全新配置带超大阳台，距BRT5分钟（精选好房） 广州 广州租房啊良的微博视频  显示地图 ,/,/,#广州租房[超话]#,2020-03-24 00:33,2020/03/24 00:34:42,地铁,广州租房超话,0,0,0
IA01eA61H,2866194210,梨花落爱喝冰美式,weibo.cn/2866194210/IA01eA61H,False,肖战粉丝放了肖战时尚先生拍摄全部曝光。还是一如既往的…  [组图共2张] 原图 ,地铁，老爷爷，手机  ,八组日报社,无,2020-03-24 00:33,2020/03/24 00:34:42,地铁,微博国际版,0,0,0
IA01G4TqY,2535400852,ADmanamDA,weibo.cn/2535400852/IA01G4TqY,False,【上海地铁电视直播新演播室启用】关注《上海早晨》，了解“地铁出行”。3月23日，上海地铁电视直播新演播室启用啦！全新改版的“地铁早高峰”电视直播栏目，在工作日早晨7点50分左右，通过上海电视台新闻综合频道《上海早晨》栏目，向全市全家万户的电视荧屏现场直播。详情：【上海地铁电视直播新演播室启用】栏目升级改版 超大曲屏吸睛  [组图共4张] 原图 ,#SM姬回放# #SM姬回放# 20200323 0753BJT 养老早间魔都地铁连线 新棚HD开ON惹 值班长有点紧脏额 查看图片 //@张戴阳Tillo:@ADmanamDA 用起来咯  ,上海地铁shmetro,无,2020-03-24 00:34,2020/03/24 00:35:18,地铁,无,0,0,0
IA01D3Zcx,1822298700,嘟嘟噠哒,weibo.cn/1822298700/IA01D3Zcx,True,#深圳流浪猫##深圳流浪猫领养##深圳流浪猫救助# @深圳流浪猫狗领养平台 @深圳流浪猫狗领养中心 @深圳流浪猫 在深圳福田区车公庙地铁站B出口发现两只可怜的流浪猫，其中有一只好像受伤了。请问深圳流浪猫平台能否救助他们，帮他们找到温暖的地方生活！🙏🙏🙏 深圳·地铁站(车公庙店)  显示地图 [组图共3张] 原图 ,/,/,@深圳流浪猫,2020-03-24 00:34,2020/03/24 00:35:18,地铁,HUAWEI P30 Pro,0,0,0
IA01BheYB,3532490610,zzz周江夏,weibo.cn/3532490610/IA01BheYB,True,1480大石地铁口 ，只有一间 广州·大石 zzz周江夏的微博视频  显示地图 ,/,/,无,2020-03-24 00:34,2020/03/24 00:35:18,地铁,iPhone客户端,0,0,0
IA01xsWzW,3171769695,Xxhidgainnnnillssgirlll,weibo.cn/3171769695/IA01xsWzW,True,这牛竟然都不是f？？我真的黑人问号脸地铁老爷爷看手机？  ,/,/,无,2020-03-24 00:34,2020/03/24 00:35:18,地铁,iPhone 8 Plus,0,0,0
IA01WhCHf,2186076877,大兔子ss,weibo.cn/2186076877/IA01WhCHf,False,【#武汉地铁已做好恢复运营准备#】23日上午，汉口火车站等地铁站内，保洁人员用喷雾器对车站站厅、站台等处进行无死角地消杀。针对乘客接触频次高的售票机、闸机、扶手、座椅、车门等处进行全面消杀。对于市民最关心的地铁何时恢复运营，武汉地铁运营公司相关负责人表示，网传信息均非官方发布，具体运营恢复时间目前仍未最终确定。http://t.cn/A6ze0u3D ,看到曙光了  ,人民日报,无,2020-03-24 00:34,2020/03/24 00:35:58,地铁,OnePlus 7 Pro,0,0,0
IA01V5Eoo,2902350807,David-BlackPearl,weibo.cn/2902350807/IA01V5Eoo,False,小新坐地铁，把地铁里不文明的人全都讽刺了一遍（by蜡笔小新那些事儿）蜡笔小新那些事儿的微博视频  ,小新童言无忌，说得好，论抢座还真是  ,北京人不知道的北京事儿,无,2020-03-24 00:34,2020/03/24 00:35:58,地铁,iPhone客户端,0,0,0
IA01S8SjD,3840914247,莫娜花店,weibo.cn/3840914247/IA01S8SjD,True,#你认识的富二代都啥样#我姐夫，能坐公交地铁从不打车！随手关水关电，不浪费食物，吃多少盛多少，他给我一种错觉，让我觉得我才是个富二代 ，关键他还特别低调，除了一辆沃尔沃和房子，他没有什么别的一样单价超过2万块的东西，没有名表，名包，还性格温和，哎，不说了，惭愧  ,/,/,无,2020-03-24 00:34,2020/03/24 00:35:58,地铁,iPhone客户端,0,0,0
IA02xtYip,3624676027,拉不拉哆来咪发唆拉西哆,weibo.cn/3624676027/IA02xtYip,True,从1月24号开始到今天2个月就出了4次门 第一次还是出门遛狗人都没接触 昨天出去了今天喉咙巨痛 测了3次水银腋温37.4 也不晓得是不是因为吃了冒菜导致发炎了 成都也很多天没得新增了啊 我到公共场所手都不直接接触任何东西 恐慌 心跳都加快了 唯一一个陌生人取了口罩是在地铁上坐我旁边那男的取口罩喝水 然后我马上闪人了现在疯狂喝水中 害怕 原图 ,/,/,无,2020-03-24 00:36,2020/03/24 00:37:39,地铁,HUAWEI P10 Plus,0,0,0
IA02ugUk4,6179910473,我与阿飘有个约定,weibo.cn/6179910473/IA02ugUk4,True,#恐怖##千万别在地铁上看恐怖片#几分钟看完恐怖电影《#两个月亮#》，女驱魔师被恐怖月亮带入地狱！故事设计蛮用心的，还有几次不错的反转。而且首尾很好的呼应，开头的旁白。不过这种靠悬念推动剧情的故事，到结尾只给出这么一个真相，多少有点不过瘾啊。 我与阿飘有个约定的微博视频  ,/,/,无,2020-03-24 00:36,2020/03/24 00:37:39,地铁,微博网页,0,0,0
IA02PgVEg,7012741025,玩转音乐现场,weibo.cn/7012741025/IA02PgVEg,True,乘坐这辆《伤心地铁》，去往没有你的季节 伤心地铁（2018咪咕音乐现场光良深圳专场live）  ,/,/,无,2020-03-24 00:37,2020/03/24 00:38:09,地铁,Android,0,0,0
IA02G7oZn,2615160520,好是风和日暖biubiubiu,weibo.cn/2615160520/IA02G7oZn,True,迷你地铁太好玩了吧！  ,/,/,无,2020-03-24 00:37,2020/03/24 00:38:09,地铁,iPhone客户端,0,0,0
IA02Y9QwD,3102357615,珂珂宝kristin,weibo.cn/3102357615/IA02Y9QwD,False,【记者提问“要向前总统请教抗疫建议吗？” 特朗普：学不到啥东西】#特朗普称在前任总统身上学不到啥#3月21日的白宫记者会上，有记者向特朗普提问，在疫情危机之下，是否会向前任总统布什、奥巴马、克林顿等前任寻求帮助。特朗普称：“自己有很好的团队，不会去打扰他们，也学不到什么东西...哪怕能救1个人我也会打，但我觉得不可能。”  http://t.cn/A6zejR2V ,他这样的人做总统真的没关系吗…我每次看他发言真的都是地铁老人手机脸  ,头条新闻,无,2020-03-24 00:37,2020/03/24 00:38:43,地铁,iPhone客户端,0,0,0
IA02VriAg,5718752855,我值得丨,weibo.cn/5718752855/IA02VriAg,False,#你认识的富二代都啥样# 这个很有意思吧 ，就你身边来说吧 （这里的富二代标准是:你觉得是富二代他就是富二代）  原图 ,//@这总能碰到SB的体质是要闹哪样啊:哈哈哈哈 骂了个币 辛苦他了呢//@Ruinsso:跟一个富二代朋友聊到初恋，他说 你都不知道我为我初恋付出了多少，我为了她 都学会了坐地铁  ,喜脉洗脉,无,2020-03-24 00:37,2020/03/24 00:38:43,地铁,iPhone客户端,0,0,0
IA03ieqay,6386299657,我现在可以改id吗,weibo.cn/6386299657/IA03ieqay,True,谁能想到大半夜我在搜索迷你地铁攻略呢💩  ,/,/,无,2020-03-24 00:38,2020/03/24 00:39:20,地铁,HUAWEI P30,0,0,0
IA03w8hDP,5892627561,无法访问captain,weibo.cn/5892627561/IA03w8hDP,True,n号房事件，让我想起一件事我的同事说他在上班的时候经常可以看到一位男性在地铁的电扶梯上拍照，开始他以为那个男性在自拍，等他一看发现在拍前面楼梯上女孩子的裙底，而且不止一次，而且他这种喜欢偷拍的人对镜头感觉很灵敏，我同事好几次想和我说是谁，他都察觉的到，真的是无话可说[懒得理你]，直到有一天我的同事拍了一张图片给我看看，我发现那个男生长的人模狗样，结果做的事如此恶心 ,/,/,无,2020-03-24 00:38,2020/03/24 00:39:53,地铁,微博国际版,0,0,0
IA03qb4UH,3880783933,青人东耳_,weibo.cn/3880783933/IA03qb4UH,False,*朗布兰奇*寒冷的冬夜里，Lynn在多伦多的一家夜店外面和一位陌生的男子亲热，她想找个陌生人度过今晚，然而在答应去男子家中后，她才发现他家远在三小时车程外的朗布兰奇，地铁上...这原本令人兴奋的气氛开始变得尴尬起来...《朗布兰奇》由出色的摄影、梦幻般独立摇滚配乐以及演员们精湛的演技组成，恰当好处地描写了当代年轻人如何处理自身并不理想的生活，并在最不期望的时刻坠入爱河，开启一段微妙而又崭新的关系。即使在短视频时代，也不要因为时长而让自己错过好作品❤️#海外综艺安利# http://t.cn/A6zklgN7 ,真的感觉就 好 麻烦 啊…//@Tiger公子:我的天哪三个小时地铁➕公交车➕巴士➕自行车才能到的地方，男主如果一开始就说了，绝对灭嗨啊哈哈哈哈  ,internet-garcon-pdf,无,2020-03-24 00:38,2020/03/24 00:39:53,地铁,iPhone X,0,0,0
IA03IvgGW,2818427562,娱星团,weibo.cn/2818427562/IA03IvgGW,True,#武汉地铁已做好恢复运营准备#地铁何时恢复运营，武汉地铁运营公司相关负责人表示，网传信息均非官方发布，具体运营恢复时间目前仍未最终确定。望周知！  ,/,/,无,2020-03-24 00:39,2020/03/24 00:40:30,地铁,iPhone客户端,0,0,0
IA03IuuQe,5523015317,旅拍摄影师研姗,weibo.cn/5523015317/IA03IuuQe,True,疫情影响，刚起步的公司发不下工资，弟弟回了老家搞快递，我们也从离公司二十分钟月租四千的一居室又回到上海的郊区。折腾好几天，搬家很麻烦，出入证，门禁卡，电梯卡，来回四小时，单程转3-4趟地铁，不得不说，女人的二十四岁真是个变老的分界点，容易觉得累，这也不舒服那也不舒服。 http://t.cn/R2Wiav2 显示地图 [组图共2张] 原图 ,/,/,http://t.cn/R2Wiav2,2020-03-24 00:39,2020/03/24 00:40:30,地铁,小米8周年旗舰手机,0,0,0
IA04164P1,1654446423,金玉坊,weibo.cn/1654446423/IA04164P1,True,#武汉封城# 武汉封城第六十一天：天气温和的让人忍不住去踏青了，但是，不行！小区还没有解封……今天新闻里看到很多湖北人踏上了离鄂上班的专列，健康码也是互认的，这样就方便了复工复产，虽然会有各种问题和困难，但办法总会有的，再有就是：不要歧视湖北人，换位思考，己所不欲 勿施于人🙏唯品会买的电推子蛮好用的，傻瓜型，生手如我也能找到美发师的感觉，大有不把电推钱剪回来不罢休的豪情武汉今天试行了100多路公汽，也试行了地铁肯定比原来要复杂，但大家都能理解。 http://t.cn/R2WxQOQ 显示地图 原图 ,/,/,#武汉封城#,2020-03-24 00:40,2020/03/24 00:41:04,地铁,iPhone XR,0,0,0
IA03ZEoYN,1772374721,爆炸南瓜头,weibo.cn/1772374721/IA03ZEoYN,True,上海地铁拟人。哈哈哈哈哈哈http://t.cn/A6zkdmcu  原图 ,/,/,无,2020-03-24 00:40,2020/03/24 00:41:04,地铁,iPhone客户端,0,0,0
IA03X0Nha,2038404650,猪的世界您别猜,weibo.cn/2038404650/IA03X0Nha,True,3.23 年后第一天回公司上班 早上很疲倦的起床 赶紧做早餐午餐 结果不带脑子出门忘带了中午忙到没时间点外卖 同事帮叫 结果太难吃了 难吃到吃不下去 继而胃疼 晚上7点打算下班回家吃饭，结果走到地铁又被招商一句话叫回公司，想着那就等到8点多直播完再走吧。谁想到薇娅打乱顺序， 说好的8点半一直排到了23点，然后24点。鉴于午餐的恐惧，晚上不敢继续叫外卖，只好喝奶佛性维持体力，现在在滴滴上，吹着这一刻的风，好爽，快睡着了都～ 回去吃宵夜吧 ,/,/,无,2020-03-24 00:40,2020/03/24 00:41:04,地铁,iPhone客户端,0,0,0
IA03VucmP,3208784625,今天早上吃什么呢,weibo.cn/3208784625/IA03VucmP,True,#成都租房[超话]#  市中心春熙路太古里旁边！春熙路地铁站，东门大桥地铁站附近，步行5分钟可到达地铁2号线，3号线。（在春熙路，东门大桥上班无交通费用，走路就到公司[good]）民用水电精装套一，好地段好户型，有阳台，无中介费，设施齐全拎包入住短租优惠#成都租房无中介#  [组图共3张] 原图 ,/,/,无,2020-03-24 00:40,2020/03/24 00:41:04,地铁,成都租房超话,0,0,0
IA03Uiuyx,2655936481,卷卷馅儿的,weibo.cn/2655936481/IA03Uiuyx,False,"带口罩的三名中国人被白人种族主义者轰出地铁的时候, 同一车厢的人做出了什么反应 ？ 默认&制止 ？ 我翻译了这个结果让人非常意外的社会调查 👇🏼  云登_十尼贝格的微博视频 比利时·布鲁塞尔  ",虽然我觉得这个也不完全是歧视...  ,云登_十尼贝格,无,2020-03-24 00:40,2020/03/24 00:41:04,地铁,iPhone,0,0,0
IA042h493,1901583665,黎妹纸妹纸黎,weibo.cn/1901583665/IA042h493,True,最近的生活被一团乱麻的工作充斥得整个人都是昏昏沉沉的。地铁下错站，现场照拍漏，方案做漏，尺寸记漏……我都怀疑我的脑部退化了…每天一根弦绷得都断了…  ,/,/,无,2020-03-24 00:40,2020/03/24 00:41:40,地铁,iPhone客户端,0,0,0
IA04otlXZ,5086843536,HoPagakSaen,weibo.cn/5086843536/IA04otlXZ,True,今天去了三联书店，人很少书也没什么滋味。和小林吃了粤式感觉很一般，逛了好久的街大腿根子挺酸，站在地铁上反复听cigarette after sex的K.真的超级享受。  原图 ,/,/,无,2020-03-24 00:41,2020/03/24 00:42:18,地铁,三星A90 疾速5G,0,0,0
IA04F20gq,5092682324,月光泼地如水,weibo.cn/5092682324/IA04F20gq,False,旧常识老师经典发言一例  原图 ,。。。地铁老人看手机//@白桦与红霞://@Jane_Khost:摸过去拉黑发现已经拉黑过了（//@blandSputnik:黑人文学local，白人文学就普世，我从来没听说过有这种事  ,blandSputnik,无,2020-03-24 00:41,2020/03/24 00:42:58,地铁,HUAWEI P30,0,0,0
IA04BqLpr,6610717287,不知道该叫什么那就叫xl吧,weibo.cn/6610717287/IA04BqLpr,False,#遇到过哪些奇怪的求助# 我曾经在路上走得好好的，被陌生人拦下来问身上的裤子哪买的  原图 ,哈哈哈哈哈哈哈哈哈哈//@爱喝可乐的王子:上次在宽窄巷子玩 有个外国人问我貌似地铁站怎么走 我用蹩脚英文七七八八告诉他 他礼貌的谢谢我之后拐角进了派出所  ,假装在采访,无,2020-03-24 00:41,2020/03/24 00:42:58,地铁,小米Note 3 拍人更美,0,0,0
IA04xCPV2,5544879146,爆笑宝典,weibo.cn/5544879146/IA04xCPV2,True,俄罗斯某地铁站内，乘客可以选择不花钱做30个蹲起来买地铁票，果然很战斗民族。真好！  爆笑宝典的微博视频  ,/,/,无,2020-03-24 00:41,2020/03/24 00:42:58,地铁,微博视频,0,0,0
IA04YcFZg,1641229321,顺势的理想,weibo.cn/1641229321/IA04YcFZg,False,这几天脑子里面，总在不断地反复丈量推敲这么的一个说法：深圳的用人成本、租金和生活成本每年增长，积累下来确实太高了，加上地方高校数量和质量不尽如意，未来将会有大量科研-特别是指物联网和人工智能类的科研基地，会转移到广州去。一是高校生源充足。前期培养和用人成本较低。加上对于毕业生来说，幅员面积广阔得还是能找到机会去购房上车安家，这个状况的客观存在，会对深圳未来，构成压力。你们觉得呢？#猪是深港人##猪说房产# ,广州的地铁太恐怖。。。  ,乡镇猪,无,2020-03-24 00:42,2020/03/24 00:43:39,地铁,微博 weibo.com,0,0,0
IA04Qxt6s,5579627202,辛木_x,weibo.cn/5579627202/IA04Qxt6s,True,感觉以后坐地铁公交都会感觉不自在，什么时候可以恢复从前啊，说想出去玩和吃东西，其实一时半会儿是不敢的  原图 ,/,/,无,2020-03-24 00:42,2020/03/24 00:43:39,地铁,微博国际版,0,0,0
IA04QvKhK,1918614060,姜gaki,weibo.cn/1918614060/IA04QvKhK,False,复读一次。停止原谅，我们应该知道源头在哪里。  原图 ,搭个地铁被上下打量，走夜路被吹口哨“要不要载你一程” ，坐个长途bus半夜摸手，坐火车警惕着对面黑夜的眼睛彻夜无眠，“有纹身就是可以随便对待的女孩”，甚至被不知所谓的男人威胁生命，有段时间每天要带小刀出门。我只想穿着喜欢的衣服自由出街，和女孩出门喝酒不必保持清醒，在此之前斗争不可停息  ,知书少年果麦麦,无,2020-03-24 00:42,2020/03/24 00:43:39,地铁,iPhone客户端,0,0,0
IA04NzPOV,2020038857,Syutia,weibo.cn/2020038857/IA04NzPOV,False,肖战获由你音乐榜“2019华语数字音乐年度报告”年度十大歌手、年度歌曲人气TOP10歌手两大荣誉！6次拿下由你音乐榜单冠军，3次拿下五大维度单项冠军！7首歌进入TOP20！影视 综艺 音乐多领域发展期待更多精彩@X玖少年团肖战DAYTOY  [组图共9张] 原图 ,@X玖少年团肖战DAYTOY 每天上班地铁时间就是听哥哥音乐的时间  ,圈内教父,无,2020-03-24 00:42,2020/03/24 00:43:39,地铁,肖🐰🐰iPhone客户端,0,0,0
IA05f39Nq,6034969292,_yuyanW_,weibo.cn/6034969292/IA05f39Nq,False,“真正委屈的 到底是谁呢”  原图 ,不敢坐公交车而且坐地铁只敢往角落站身后要贴着门…//@而我只爱美人:是真的很害怕就算是我现在去酒店也总有一瞬间会突然感到很害怕会不会有针孔摄像头去公共卫生间会盯着门下方的空档害怕突然有人出现晚上一个人走在马路上会时不时回头或者环顾四周担心后面有人跟着可我明明该在一个文明的法治社会啊？  ,草莓牛奶味的Haru,无,2020-03-24 00:43,2020/03/24 00:44:16,地铁,iPhone客户端,0,0,0
IA05bvjj9,5084097059,Fyia张小白,weibo.cn/5084097059/IA05bvjj9,True,今日收获：嘴甜不要钱 下班赶班车没有戴口罩，地铁站不让进。在旁边无助的时候，一个大叔过来：小妹，你怎么还不回家。我说：没戴口罩，地铁不让进。说完，他就帮我问办公室值班的人，他们给了一个口罩。在上车的时候，大叔说：小姑娘，你一定要嘴甜一些。嘴甜又不要钱，又方便办事。谢谢好心的大叔，记住了他的话。当拿到口罩那一刻，觉得世界真美好。 原图 ,/,/,无,2020-03-24 00:43,2020/03/24 00:44:16,地铁,iPhone 7,0,0,0
IA0551E0S,5533025457,禅语落青灯,weibo.cn/5533025457/IA0551E0S,False,【#武汉地铁已做好恢复运营准备#】23日上午，汉口火车站等地铁站内，保洁人员用喷雾器对车站站厅、站台等处进行无死角地消杀。针对乘客接触频次高的售票机、闸机、扶手、座椅、车门等处进行全面消杀。对于市民最关心的地铁何时恢复运营，武汉地铁运营公司相关负责人表示，网传信息均非官方发布，具体运营恢复时间目前仍未最终确定。http://t.cn/A6ze0u3D ,//@人民日报:【人民微评：开往春天的地铁】尽管武汉地铁何时恢复运营，尚未最终确定，但全面消杀行为是一个信号，带给市民憧憬。被疫情裹挟的沉重时光终会过去，被打乱的生活也会重归正轨。谁都挡不住春光照拂人心，遏制不住人们对安宁生活的向往。终有一天，开往春天的地铁载着我们抵达美好未来。  ,人民日报,无,2020-03-24 00:43,2020/03/24 00:44:16,地铁,荣耀V10 我AI的快,0,0,0
IA05rapoG,6765092263,士官长大人科塔娜已经叛变了,weibo.cn/6765092263/IA05rapoG,False,【#武汉地铁已做好恢复运营准备#】23日上午，汉口火车站等地铁站内，保洁人员用喷雾器对车站站厅、站台等处进行无死角地消杀。针对乘客接触频次高的售票机、闸机、扶手、座椅、车门等处进行全面消杀。对于市民最关心的地铁何时恢复运营，武汉地铁运营公司相关负责人表示，网传信息均非官方发布，具体运营恢复时间目前仍未最终确定。http://t.cn/A6ze0u3D ,//@人民日报:【人民微评：开往春天的地铁】尽管武汉地铁何时恢复运营，尚未最终确定，但全面消杀行为是一个信号，带给市民憧憬。被疫情裹挟的沉重时光终会过去，被打乱的生活也会重归正轨。谁都挡不住春光照拂人心，遏制不住人们对安宁生活的向往。终有一天，开往春天的地铁载着我们抵达美好未来。  ,人民日报,无,2020-03-24 00:43,2020/03/24 00:44:57,地铁,你不能错过的微博,0,0,0
IA05nB3Ev,5414586858,偷看月亮liy,weibo.cn/5414586858/IA05nB3Ev,True,武汉就算能点外卖又如何呢，送不到家门口还需要换好衣服等电梯下楼出小区拿的外卖根本就没有灵魂！没有灵魂懂吗！换好衣服到小区大门拿外卖回家吃和换好衣服去小区门口饭馆吃和换好衣服坐三站地铁去王家湾吃对我来说，区别并不大，就是这么懒对不起啥时候解封啥时候解封啥时候解封啥时候能让外卖小哥到我门口 原图 ,/,/,无,2020-03-24 00:43,2020/03/24 00:44:57,地铁,想念呆桃的Android,0,0,0
IA05mbUIS,2967423312,SXYZ_唐烫烫,weibo.cn/2967423312/IA05mbUIS,False,过个安检非要让我把肛塞翻出来大庭广众的给你看看 丢死人了 上海·上海虹桥国际机场  ,//@纵锦浪里:别笑了…要脸//@不可回收_STrider:草//@Sera_Shuuichi:哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈//@甜橙柠冻冰摇茶:？//@生姜面w:忘记。。摘。。？//@纵锦浪里:笑晕了哈哈哈哈哈哈哈哈哈 我上次也是 坐地铁忘记摘哈哈哈哈哈  ,YourJinji-M,无,2020-03-24 00:43,2020/03/24 00:44:57,地铁,iPhone客户端,0,0,0
IA05geAOm,5026085467,网拍模特工作室招募招代理,weibo.cn/5026085467/IA05geAOm,True,带着柯基坐地铁，结果就是…  [组图共2张] 原图 ,/,/,无,2020-03-24 00:43,2020/03/24 00:44:57,地铁,Android客户端,0,0,0
IA05Somwh,3029828573,娱一爷,weibo.cn/3029828573/IA05Somwh,True,#武汉地铁已做好恢复运营准备##武汉地铁已做好恢复运营准备#武汉的社会秩序，正在准备恢复正常状态……  ,/,/,无,2020-03-24 00:44,2020/03/24 00:45:37,地铁,iPhone 11 Pro Max,0,0,0
IA0627BTo,6301827027,打完专稿否定Wm,weibo.cn/6301827027/IA0627BTo,True,生活也一样、】天下之大……有时候要按暂停。——《中国合伙人》；【最给力的精彩盘点之公车地铁奇人异士；无奇不有啊……有时候要按快进！爱情就像录像机 新余·Bamboo.斑布  显示地图 ,/,/,无,2020-03-24 00:45,2020/03/24 00:46:10,地铁,iPhone客户端,0,0,0
IA05XDYHx,1877370362,紫流流同学提不起劲,weibo.cn/1877370362/IA05XDYHx,False,我曾经以为经历过性骚扰的女孩子很不幸，后来发现大家竟然都挺不幸，最后庆幸没出什么大事已经是不幸中的万幸。  ,都懒得数了，只要晚点独自一个人必被咸猪手//@丨Reveris丨 :被跟过被骚扰过，地铁上被咸猪手，就算对象在旁边也阻止不了奇怪的眼神//@赫敏是花痴 :是//@y双海_求一切顺利 :感觉…大家都有过吧…  ,挟持爱丽丝,无,2020-03-24 00:45,2020/03/24 00:46:10,地铁,微博国际版,0,0,0
IA05VlYNr,3029828573,娱一爷,weibo.cn/3029828573/IA05VlYNr,True,#武汉地铁已做好恢复运营准备##武汉地铁已做好恢复运营准备#武汉的社会秩序，正在准备恢复正常状态…… ，b  ,/,/,无,2020-03-24 00:45,2020/03/24 00:46:10,地铁,iPhone 11 Pro Max,0,0,0
IA06hbwm3,5558326890,不加糖饱贝,weibo.cn/5558326890/IA06hbwm3,True,唐老师剪的我们刚到西安下高铁坐地铁的视频，除了地铁站就看到古城墙啦，天气很好💙  微博视频  ,/,/,无,2020-03-24 00:45,2020/03/24 00:46:45,地铁,微博视频,0,0,0
IA069weno,5632618510,腠理寻温,weibo.cn/5632618510/IA069weno,False,【#武汉地铁已做好恢复运营准备#】23日上午，汉口火车站等地铁站内，保洁人员用喷雾器对车站站厅、站台等处进行无死角地消杀。针对乘客接触频次高的售票机、闸机、扶手、座椅、车门等处进行全面消杀。对于市民最关心的地铁何时恢复运营，武汉地铁运营公司相关负责人表示，网传信息均非官方发布，具体运营恢复时间目前仍未最终确定。http://t.cn/A6ze0u3D ,转发微博  ,人民日报,无,2020-03-24 00:45,2020/03/24 00:46:45,地铁,Android,0,0,0
IA06uc9Dc,2051871693,平安洛宁,weibo.cn/2051871693/IA06uc9Dc,True,【#武汉地铁已做好恢复运营准备#】23日上午，汉口火车站等地铁站内，保洁人员用喷雾器对车站站厅、站台等处进行无死角地消杀。针对乘客接触频次高的售票机、闸机、扶手、座椅、车门等处进行全面消杀。对于市民最关心的地铁何时恢复运营，武汉地铁运营公司相关负责人表示，网传信息均非官方发布，具体运营恢复时间目前仍未最终确定。http://t.cn/A6ze0u3D ,/,/,无,2020-03-24 00:46,2020/03/24 00:47:16,地铁,微博 weibo.com,0,0,1
IA06qBDwy,5450077288,搞笑视蘋,weibo.cn/5450077288/IA06qBDwy,True,#武汉地铁已做好恢复运营准备#武汉加油！明年春暖烂漫时再赴约樱花  原图 ,/,/,无,2020-03-24 00:46,2020/03/24 00:47:16,地铁,无,0,1,0
