微博ID,用户id,用户昵称,微博链接,是否为原创微博,内容,转发理由,原始用户,发布位置,发布时间,信息采集时间,关键词,发布工具,转发数,评论数,点赞数
IzZahBRdx,5164433001,源源超级乖,weibo.cn/5164433001/IzZahBRdx,True,快快快开学吧  原图 ,/,/,无,2020-03-23 22:22,2020/03/23 22:23:47,开学,OPPO随光而变R17,0,0,0
IzZahANJS,2031698323,CharleneQ2012,weibo.cn/2031698323/IzZahANJS,True,疫情还没有过去，学校却要开学了。现在的不死不活的状态，没有大爆发，但是每天几十例的增加。奥运会终究要推迟了，准备了长达8年之久，寄予了无限的厚望，在即将召开之际，却发生了意外，对于这个民族的每个人而言，会有如何的感想。很感激这个民族的民众有着普遍的高素质，到目前为止没有任何的歧视，而我内心充满了负疚感。有生之年经历了第三次世界大战，而没有人知道这场战争什么时候能结束，结束后又会是怎样的世界。大病一场之后，漫长的修复期，所有无辜牵扯进来的国家，会去如何应对将来，又将如何收拾过往。曾经的美好生活就这样结束，不知道这一生还能不能再次经历这样的生活。几十年对一个国家而言弹指一挥间，对于个人而言却是一生。前方的道路会是怎样的凶险，内心充满了恐惧。不知道未来会经历什么，不敢抬头看未来，有的时候真的希望就这样一直走，不要有未来了。 ,/,/,无,2020-03-23 22:22,2020/03/23 22:23:47,开学,iPhone,0,0,0
IzZahmyOu,5646484468,赫本的gentleeeeeeee,weibo.cn/5646484468/IzZahmyOu,True,如果开学去了学校东西霉了坏了能报销不#安徽开学#  ,/,/,无,2020-03-23 22:22,2020/03/23 22:23:47,开学,vivo AI智慧拍照X21,0,0,0
IzZah3Oue,2501071820,咕力咕力小紫人,weibo.cn/2501071820/IzZah3Oue,True,正常过的话已经开学一个月了，悄悄我这一个月干了些啥  原图 ,/,/,无,2020-03-23 22:22,2020/03/23 22:23:47,开学,荣耀10 AI变色更潮美,0,0,0
IzZagudqI,3076948601,文溪红叶,weibo.cn/3076948601/IzZagudqI,True,图说 | @即将开学的你 调整心态 做好防护，你准备好了吗？ 图说 | @即将开学的你 调整心态 做好防护，你准备好了吗？ 金华·磐安县  显示地图 ,/,/,@即将开学的你,2020-03-23 22:22,2020/03/23 22:23:47,开学,华为P9手机摄影再突破,0,0,0
IzZagrmcQ,5714821281,抹茶鱼呀,weibo.cn/5714821281/IzZagrmcQ,True,开学遥遥无期，从明天开始运动，在蚂蚁森林种个树  ,/,/,无,2020-03-23 22:22,2020/03/23 22:23:47,开学,vivo X27 4800万三摄,0,0,0
IzZagqNfp,5622104511,酷毙了的七,weibo.cn/5622104511/IzZagqNfp,True,下巴的肉肉都有三层了什么时候能开学  [组图共2张] 原图 ,/,/,无,2020-03-23 22:22,2020/03/23 22:23:47,开学,iPhone客户端,0,0,0
IzZafxndw,2312061002,有嘴叭叭的Vang,weibo.cn/2312061002/IzZafxndw,True,近期分享🛒快点开学吧！  [组图共9张] 原图 ,/,/,无,2020-03-23 22:22,2020/03/23 22:23:47,开学,无,0,0,0
IzZaffGr8,2840506003,圆木铃子,weibo.cn/2840506003/IzZaffGr8,True,…想到开学我鼻子就酸了……  ,/,/,无,2020-03-23 22:22,2020/03/23 22:23:47,开学,超市换购的iPhone X,0,0,0
IzZauma2O,1799282740,Gaojianyu-,weibo.cn/1799282740/IzZauma2O,False,开周大吉，你会收到意想不到的好消息：新的一周好运上榜的星座：白羊座、水瓶座、双鱼座、狮子座、摩羯座、天秤座、双鱼座、射手座、双子座！  原图 ,尽快开学吧🙏成功开学吧🙏🙏🙏  ,锦鲤大王,无,2020-03-23 22:23,2020/03/23 22:24:21,开学,iPhone 11,0,0,0
IzZaujLSA,6646944048,小田切栗子西瓜,weibo.cn/6646944048/IzZaujLSA,True,小🐑想快点开学，可是我真的能呆到明年春天  ,/,/,无,2020-03-23 22:23,2020/03/23 22:24:21,开学,OPPO超视野全面屏R15,0,0,0
IzZau5ASF,5653630994,陈同学honey,weibo.cn/5653630994/IzZau5ASF,True,快点开学吧 家里被骂的呆不下去了  ,/,/,无,2020-03-23 22:23,2020/03/23 22:24:21,开学,iPhone XR,0,0,0
IzZash8vH,5092685321,您已进入猛男的护崽区域,weibo.cn/5092685321/IzZash8vH,True,我尼玛观察几天了，别的省份的开学热搜后面的表情都是，陕西开学后面是。幹哦，我真的不想开学，我也想  ,/,/,无,2020-03-23 22:23,2020/03/23 22:24:21,开学,无,0,0,0
IzZarFVzI,3728581634,qwer_90768,weibo.cn/3728581634/IzZarFVzI,True,新疆今天开学，现在全国情势都这么好了，然而从内地返疆还要隔离观察28天才能上学，没有上报甚至连高速都下不来  原图 ,/,/,无,2020-03-23 22:23,2020/03/23 22:24:21,开学,微博国际版,0,0,0
IzZaqtv9V,5070826758,Agnes独家记忆,weibo.cn/5070826758/IzZaqtv9V,True,『图说 | @即将开学的你 调整心态 做好防护，你准备好了吗？ - 中国日报网』图说 | @即将开学的你 调整心态 做好防护，你准备好了吗？  ,/,/,无,2020-03-23 22:23,2020/03/23 22:24:21,开学,HUAWEI Mate 20,0,0,0
IzZaqtsFa,5674521265,正版可免免的小女儿,weibo.cn/5674521265/IzZaqtsFa,True,#和可免免一起读书#刚放寒假的时候，带回来三本通鉴，今天终于全看完了。比原来的计划晚了整整一个月在家效率果然是低的要命眼看着就要有开学的消息了，准备抽时间做一下作业，看几篇论文。争取开学前把《唐代官制》和《唐代历史地理研究》看完[加油][加油]  原图 ,/,/,无,2020-03-23 22:23,2020/03/23 22:24:21,开学,小米6X 拍人更美,0,0,0
IzZaqfjZz,2843960924,Seven柒玥7,weibo.cn/2843960924/IzZaqfjZz,True,河南还能不能开学了@河南教育  ,/,/,无,2020-03-23 22:23,2020/03/23 22:24:21,开学,iPhone客户端,0,0,0
IzZaqbQtY,6991170593,四维绫子sw,weibo.cn/6991170593/IzZaqbQtY,True,我们下周所有专业课都开始上网课了，所以开学遥遥无期了????????欧，我的尾款凉了啊……真好……  ,/,/,无,2020-03-23 22:23,2020/03/23 22:24:21,开学,陪跑选手的Android,0,0,0
IzZaK3cLJ,5631256005,菲喆,weibo.cn/5631256005/IzZaK3cLJ,True,就算4.7开学，我还有的时间（3.23-4.7）也只是比之前的寒假（1.18-2.9）少一点点而已，所以理论上来说，我的寒假作业是补得完的  ,/,/,无,2020-03-23 22:23,2020/03/23 22:24:52,开学,小米5s 拍照黑科技,0,0,0
IzZaJo8ne,6436635703,世上第一只粘人的梅菜扣肉,weibo.cn/6436635703/IzZaJo8ne,True,我想开学  ,/,/,无,2020-03-23 22:23,2020/03/23 22:24:52,开学,乐Max 2,0,0,0
IzZaIdXDC,7137646665,有个宝贝哦,weibo.cn/7137646665/IzZaIdXDC,True,拎得清太重要了好在我的朋友跟我同一频率 相处太快乐了我这没啥风 站的挺稳🐂🍻我脾气不小 就是不轻易发一天到晚总有人想看看是咋滴👀好好地惹我和我宝贝干嘛呢总之非常愉快🍔更愉快的是现在的417 突然有点想开学3️⃣我俩在一起真好鸭🧚🏻♀️搞点夜宵吃吃吧 http://t.cn/RDnEUnO 显示地图 原图 ,/,/,无,2020-03-23 22:23,2020/03/23 22:24:52,开学,iPhone客户端,0,0,0
IzZaIcVXx,6472241184,就是要吃牛奶糖,weibo.cn/6472241184/IzZaIcVXx,True,再不开学真的要疯了，啥都要用完了  ,/,/,无,2020-03-23 22:23,2020/03/23 22:24:52,开学,HUAWEI nova 3,0,0,0
IzZaHjtOP,5315415761,老九巧克力,weibo.cn/5315415761/IzZaHjtOP,True,好想出去玩 #武汉##开学# 老九巧克力的微博视频  ,/,/,无,2020-03-23 22:23,2020/03/23 22:24:52,开学,OPPO R11 Plus,0,0,0
IzZaH2RMu,6029939731,甜心软糖罐,weibo.cn/6029939731/IzZaH2RMu,True,我一想到去年冬天我在zara买的那件打折的但穿起来气场2米8的薄款黑色大衣因为疫情现在还在学校，如果四月份开学那么怕热的我就只能等到今年秋天才能穿上那件新衣服，我就好难过好难过啊我去年双十一还买了我心心念念的皮衣外套，还有另外一件毛绒绒的外套，我一想到我现在统统穿不了，每天只能穿个卫衣在家乱晃，我就难过的不得了我想穿新衣服啊555哪怕呆在家里也想穿好看的新衣服 ,/,/,无,2020-03-23 22:23,2020/03/23 22:24:52,开学,HUAWEI P20,0,0,0
IzZaH1RYd,3223245853,飞呀-飞呀-飞,weibo.cn/3223245853/IzZaH1RYd,True,完了完了完了完了，学校可能有开学考试网课一时爽，考试火葬场  ,/,/,无,2020-03-23 22:23,2020/03/23 22:24:52,开学,HUAWEI P20,0,0,0
IzZaGsnxR,6274714356,工藤太太的,weibo.cn/6274714356/IzZaGsnxR,True,假偶天成 也太甜了吧 太好看了 一周一集太难熬了 撑到开学还能看几集呀 呜呜呜  ,/,/,无,2020-03-23 22:23,2020/03/23 22:24:52,开学,荣耀手机 勇敢做自己,0,0,1
IzZaFBcTt,5489817561,小余小余有点多余,weibo.cn/5489817561/IzZaFBcTt,True,#小萝莉[超话]# 还不开学好无聊处个朋友嘛[喵喵]  原图 ,/,/,无,2020-03-23 22:23,2020/03/23 22:24:52,开学,小萝莉超话,0,0,0
IzZaEEnyR,3176129053,八月嘿喵,weibo.cn/3176129053/IzZaEEnyR,True,再不开学，我可以发展副业了  [组图共3张] 原图 ,/,/,无,2020-03-23 22:23,2020/03/23 22:24:52,开学,小米9 SE,0,0,0
IzZaZ6jMc,6642088751,新闻记者兵,weibo.cn/6642088751/IzZaZ6jMc,True,全国多省明确开学时间，这些高校还公布了暑假时间#跟新浪看热点#  全国多省明确开学时间，这些高校还公布了暑假时间  ,/,/,无,2020-03-23 22:24,2020/03/23 22:25:27,开学,新浪新闻客户端,0,0,0
IzZaYe240,5361637452,OnlyTaylor-G,weibo.cn/5361637452/IzZaYe240,False,#TaylorSwift[超话]##开学时间# 泰勒斯:你们都好好上学！我在家继续撕👗#这是可以说的吗#（图源网络）  [组图共6张] 原图 ,评论笑死我了哈哈哈哈哈哈哈哈哈#泰勒斯威夫特临近开学发现没写寒假作业#  ,TaylorSwiftCafe,无,2020-03-23 22:24,2020/03/23 22:25:27,开学,😉iPhone 8 Plus,0,0,0
IzZaXz2XM,2448021107,失恋先生,weibo.cn/2448021107/IzZaXz2XM,True,#当代大学生贫穷时的心声#没有生活费，渴望开学  原图 ,/,/,无,2020-03-23 22:24,2020/03/23 22:25:27,开学,无,0,0,0
IzZaXkE1p,5185866826,QuasimodoZhao,weibo.cn/5185866826/IzZaXkE1p,True,#毕业##开学# 如图  原图 ,/,/,无,2020-03-23 22:24,2020/03/23 22:25:27,开学,HUAWEI Mate 30,0,0,0
IzZaXjuLX,3832947128,飞翔的鲸鱼仙女,weibo.cn/3832947128/IzZaXjuLX,True,知足常乐快点开学吧  ,/,/,无,2020-03-23 22:24,2020/03/23 22:25:27,开学,荣耀V10 我AI的快,0,0,0
IzZaX306S,2096648681,我爱雪米饼,weibo.cn/2096648681/IzZaX306S,False,【今天起，#江苏对所有入境人员采取集中医学观察14天措施#】据省外事办，根据境外疫情发展形势，结合江苏省防范境外疫情输入工作实际，江苏省自3月23日起对所有入境人员采取集中医学观察14天措施（条件不允许的可实施居家医学观察）。 #江苏对所有入境人员采取集中医学观察14天# #当前全国本土疫情传播基本阻断# 原图 ,终于等到政策了 快开学了不能再有任何波折了  ,江苏新闻,无,2020-03-23 22:24,2020/03/23 22:25:27,开学,iPhone客户端,0,0,0
IzZaWFELZ,3426080560,单手拎起壮汉OvO,weibo.cn/3426080560/IzZaWFELZ,True,我大四川广场舞已经启动了，离开学应该不远了吧#四川开学时间#  ,/,/,无,2020-03-23 22:24,2020/03/23 22:25:27,开学,iPhone客户端,0,0,0
IzZaWpklB,3716730630,晴雨天_sunny,weibo.cn/3716730630/IzZaWpklB,True,#湖北荆州火车站即将恢复使用#我什么时候在可以等到开学呢  ,/,/,无,2020-03-23 22:24,2020/03/23 22:25:27,开学,lulu的Android,0,0,0
IzZaWpm9n,6883538253,revlon0723,weibo.cn/6883538253/IzZaWpm9n,True,#开学# @辽宁省教育厅官方微博 同样是江苏省已经发布开学时间文件，再看看辽宁省发布的文件，江苏省已经明确规定高校自4.13日起高校开学，而辽宁省4月中旬起才高三开学，其余类型学校的一律没有具体开学时间细则，所以开学时间文件发了跟没发一样，天天搞一些形式主义的东西，这种软件那种软件，什么打卡，我就想问效率怎么办？学生就业怎么办呢？为什么不多想一些如何才能真正有效控制疫情的办法。学生不开学不是唯一控制疫情的方式，况且现在大部分企业已经复工，不要总是打着为学生负责的口号而减少自己应承担的责任，现在是特殊时期，也更是考验教育部管控能力的时期。 http://t.cn/RiVncnH 显示地图 ,/,/,http://t.cn/RiVncnH,2020-03-23 22:24,2020/03/23 22:25:27,开学,华为畅享9S超广角三摄,0,0,0
IzZbeav0X,5035986618,薇拉桃乐西,weibo.cn/5035986618/IzZbeav0X,True,我这是说的啥啊，刚开始觉得还好，现在越听越，。。呜呜呜，老师们还发给全系同学了😒😒😒😒全视频五分钟呢，自我感觉，，，，丢死人了……睡了睡了晚安🙂🙂还有同学和我说我现在是公众人物了，太优秀可，不得不说，开学这一个月我的付出和努力的确成正比可。加油加油……继续努力……🥨 http://t.cn/A6zkN4bQ ,/,/,无,2020-03-23 22:25,2020/03/23 22:26:04,开学,微博视频,0,0,0
IzZbdf3qI,6256788938,Capricorn是卡普里空,weibo.cn/6256788938/IzZbdf3qI,True,今天我爸爸又问我 怎么还不开学 是不用读书了吗  ,/,/,无,2020-03-23 22:25,2020/03/23 22:26:04,开学,Android,0,0,0
IzZbd0Eca,2272814483,小石要快乐啊啊啊啊,weibo.cn/2272814483/IzZbd0Eca,True,#云南开学# 其实我在家呆的超级开心的，嘻嘻。希望不开心的事都离我远点🙏  ,/,/,无,2020-03-23 22:25,2020/03/23 22:26:04,开学,小米5X 拍人更美,0,0,0
IzZbbsRuK,5243655099,清原雪信-,weibo.cn/5243655099/IzZbbsRuK,True,求求平顶山的小学快点开学吧 我不想再辅导我弟写作业了 简直要把我逼死 还有这中国的丧偶式教育啥时候能改变一下 我妈在家的时候我妈辅导 我妈不在家就我辅导 我爸躺在床上一动不动看手机 无语 求求快点开学吧 我真受不了了  ,/,/,无,2020-03-23 22:25,2020/03/23 22:26:04,开学,iPhone客户端,0,0,0
IzZbbsck5,6531386858,·浪漫星球環遊記·,weibo.cn/6531386858/IzZbbsck5,True,#开学时间#害 今天的我也不想开学  ,/,/,无,2020-03-23 22:25,2020/03/23 22:26:04,开学,🍊🐱Android,0,0,0
IzZbbcgTs,6526326333,Kilig_cccoo,weibo.cn/6526326333/IzZbbcgTs,True,提问:到底多久才开学  ,/,/,无,2020-03-23 22:25,2020/03/23 22:26:04,开学,nova5 人像超级夜景,0,0,0
IzZb8vYqM,1963100895,Jdgajjahdabcde,weibo.cn/1963100895/IzZb8vYqM,True,再不开学我真的怕亲子关系破裂 我被扫地出门  ,/,/,无,2020-03-23 22:25,2020/03/23 22:26:04,开学,iPhone X,0,0,0
IzZb8gSwy,3489153781,米奇爱喝咖啡,weibo.cn/3489153781/IzZb8gSwy,True,快夸我牛逼吧，最近一周我看了接近50篇论文，然后嘞今天和我同学讨论我所研究的话题，他说我准备的有点偏。最近的XG真的好惨，一天一顿饭就可以喂饱，起床一坐下就到晚上，家里又没人可以说话（到时候开学后成了哑巴怎么办），更悲惨的是我的论文还没开始，复试完了后不知道还能不能写完，应该没人比我更惨了吧 原图 ,/,/,无,2020-03-23 22:25,2020/03/23 22:26:04,开学,iPhone客户端,0,0,0
IzZb8dEq4,5969792073,RMIN恩,weibo.cn/5969792073/IzZb8dEq4,True,再不开学，我跟我邻居都处出来感情了  ,/,/,无,2020-03-23 22:25,2020/03/23 22:26:04,开学,荣耀9 美得有声有色,0,0,0
IzZb7kfCO,2039753857,CCTV4,weibo.cn/2039753857/IzZb7kfCO,True,【#云南高三初三学生重回校园# 学校“花式”防疫】3月23日，云南省高三和初三年级正式开学。当日，记者探访昆明市第一中学西山学校看到，该校千余名高三、初三年级学生已经返校，开始正常上课。据了解，除了佩戴口罩、消杀、测量体温、设立专门的隔离观察室等防疫措施外。学校还通过广播室给高三、初三的全体学生上了“开学第一课”，并进行了一场特殊的防疫知识主题考试。（刀志楠）http://t.cn/A6zkMEjf @中新视频 ,/,/,无,2020-03-23 22:25,2020/03/23 22:26:04,开学,iPhone 8,0,0,1
IzZbs2AZr,6294700952,期末考试全部一次性通过,weibo.cn/6294700952/IzZbs2AZr,True,她怎么没完没了了一直要我们写论文开学到现在写三篇了平常也没见她这么爱布置作业啊  ,/,/,无,2020-03-23 22:25,2020/03/23 22:26:39,开学,OPPO智能手机,0,0,0
IzZbqwmMw,1964019457,不太LAY的玥饼小姐,weibo.cn/1964019457/IzZbqwmMw,True,我妈：我说闺女 你看看你那腿 你减减肥好吧是我：好的 母亲大人（就问....什么时候开学🙋）  [组图共2张] 原图 ,/,/,无,2020-03-23 22:25,2020/03/23 22:26:39,开学,❤官宣Android,0,0,0
IzZbq0r1V,3221309892,传说中的江添老婆,weibo.cn/3221309892/IzZbq0r1V,False,【多省市开学时间已定！你的作业写完了吗？】时间慢慢逼近3月底，全国各地不少家长和学生都在期盼开学。3月23日，#云南开学#。此外，青海、贵州、山西、陕西、海南、内蒙古、广西、西藏、新疆、宁夏、江苏、辽宁等10多个省市区也已确定#开学时间#。眼看着快开学了，你的作业写完了吗？ http://t.cn/A6zD8dcU ,重庆在？出来说说吧，别突然开学切拜，提前一周公布吧，啊啊啊啊，谢谢  ,中国之声,无,2020-03-23 22:25,2020/03/23 22:26:39,开学,小勋老婆的iPhone(玫瑰金),0,0,0
IzZbouRnC,6442679376,爱的抱抱Kelly,weibo.cn/6442679376/IzZbouRnC,False,#湖北荆州火车站即将恢复使用#3月23日开始消毒了，我终于恢复了我可以去上学了 醉挽清风丶江野的微博视频  ,转发微博  ,醉挽清风丶江野,无,2020-03-23 22:25,2020/03/23 22:26:39,开学,微博 HTML5 版,0,0,0
IzZbnCTCl,3967200418,脾气不好星人,weibo.cn/3967200418/IzZbnCTCl,True,分享今天出门三步拍的🌸快开学吧  我快三百斤了  原图 ,/,/,无,2020-03-23 22:25,2020/03/23 22:26:39,开学,HUAWEI nova 3,0,0,0
IzZbnlcoS,3901314736,草原乳城塞北,weibo.cn/3901314736/IzZbnlcoS,False,【#昆明高三初三学生戴口罩开学#：回到校园超开心】3月23日，昆明初三高三学生迎来开学，学生戴口罩开学。云大附中初三学生表示开学超开心，感觉学校空气更好。据校医介绍学校做好了充足准备，来确保学校安全开课，而学校第一课就是校医专家医师讲解防疫知识。#云南开学# 一手video的秒拍视频  ,【#昆明高三初三学生戴口罩开学#：回到校园超开心】3月23日，昆明初三高三学生迎来开学，学生戴口罩开学。云大附中初三学生表示开学超开心，感觉学校空气更好。据校医介绍学校做好了充足准备，来确保学校安全开课，而学校第一课就是校医专家医师讲解防疫知识。#云南开学# 一手video的秒拍视频  ,新闻晨报,无,2020-03-23 22:25,2020/03/23 22:26:39,开学,HUAWEI Mate 9 Pro,0,0,0
IzZbn0Zwb,5849082959,86400_seconds,weibo.cn/5849082959/IzZbn0Zwb,True,fine（我想开学）  [组图共2张] 原图 ,/,/,无,2020-03-23 22:25,2020/03/23 22:26:39,开学,HUAWEI P20,0,0,0
IzZbn26Dy,3309317721,是橘子w,weibo.cn/3309317721/IzZbn26Dy,True,啊…这样的天气太适合骑小电驴去兜风了 疫情快结束吧我想开学和小姐妹去兜风…  ,/,/,无,2020-03-23 22:25,2020/03/23 22:26:39,开学,iPhone客户端,0,0,0
IzZbIiN02,5094671768,徐州幼儿师范高等专科学校,weibo.cn/5094671768/IzZbIiN02,True,即将开学，你需要知道这些事！http://t.cn/A6zkNxHr  [组图共3张] 原图 ,/,/,无,2020-03-23 22:26,2020/03/23 22:27:16,开学,HUAWEI nova 2s,0,0,0
IzZbIgcID,6554972722,我不是你的father和mother,weibo.cn/6554972722/IzZbIgcID,True,2020对我一点点都不友好，许个愿，请保佑四月份开学之后能顺风顺水。#开学时间#  原图 ,/,/,无,2020-03-23 22:26,2020/03/23 22:27:16,开学,vivo智能手机,0,0,0
IzZbIg81v,6506084694,小卓想喝奶茶,weibo.cn/6506084694/IzZbIg81v,True,再不开学我就要发霉了  [组图共6张] 原图 ,/,/,无,2020-03-23 22:26,2020/03/23 22:27:16,开学,iPhone客户端,0,0,0
IzZbI1MRw,5770117137,XiCoisini,weibo.cn/5770117137/IzZbI1MRw,False,【#湖北荆州火车站即将恢复使用#】3月23日，湖北荆州21名蓝天救援队队员走进荆州火车站，对火车站候车室、站台、售票厅等公共场所进行全方位消杀。经过4个小时的作业，完成消杀面积达3万平方米。1月24日，为了全面做好疫情防控工作，荆州火车站暂时关闭。#聚焦新冠肺炎疫情#新京报我们视频的秒拍视频  ,开学有车车了  ,新京报我们视频,无,2020-03-23 22:26,2020/03/23 22:27:16,开学,前后2000万 OPPO R11,0,0,0
IzZbGvWzB,5651704821,RobotGT,weibo.cn/5651704821/IzZbGvWzB,False,【今天起，江苏对所有入境人员采取集中医学观察14天措施】据省外事办，根据境外疫情发展形势，结合江苏省防范境外疫情输入工作实际，江苏省自3月23日起对所有入境人员采取集中医学观察14天措施（条件不允许的可实施居家医学观察）。  原图 ,谁都别想拦着我江苏开学//@江宁婆婆:好  ,南京发布,无,2020-03-23 22:26,2020/03/23 22:27:16,开学,iPhone客户端,0,0,0
IzZbGcVOF,5579733226,HUO初晨,weibo.cn/5579733226/IzZbGcVOF,True,不想开学啊为什么要开学 临沂·蒙阴县  显示地图 原图 ,/,/,无,2020-03-23 22:26,2020/03/23 22:27:16,开学,荣耀10 AI变色更潮美,0,0,0
IzZbEaRsg,6377386348,潇予-io,weibo.cn/6377386348/IzZbEaRsg,True,近期的愿望 有好多 其一就是keep动作能做准确（我已经好长时间感觉不到自己在燃烧了 ）其二就是开学开学开学 再不开学 我就骑大马回天津 还有其三其四其五 嗯 每天都是情绪稳定的成年人[冰雪奇缘安娜]  原图 ,/,/,无,2020-03-23 22:26,2020/03/23 22:27:16,开学,iPhone客户端,0,0,0
IzZbX6be5,6495103407,二树见三树-,weibo.cn/6495103407/IzZbX6be5,True,赶紧开学吧 在家要被我妈厌死了  ,/,/,无,2020-03-23 22:26,2020/03/23 22:27:50,开学,iPhone客户端,0,0,0
IzZbWbcB8,5714946639,认真搞笑的小骄傲,weibo.cn/5714946639/IzZbWbcB8,True,我在正常的一周影视剧综艺列表安排下在其中穿插着看完了王国两季良医三季果然还是太闲惹得事到底什么时候开学   什么时候复工倒不是因为无聊   谁会嫌弃休假在家的美好时光即使闲出屁是因为即使有基本工资我也想搞钱啊搞大钱💰  原图 ,/,/,无,2020-03-23 22:26,2020/03/23 22:27:50,开学,vivo智能手机,0,0,0
IzZbV0EjR,3971291646,河南建筑职业技术学院,weibo.cn/3971291646/IzZbV0EjR,True,#建院夜聊# 大家#着急开学的真实原因#是什么呢？ 是钱包的羞涩，还是妈妈的唠叨？ 是身上的羽绒服，还是异地恋的难过？ 是网课的作业，还是打卡的迟到？ 啊～一定是对小筑想念！  原图 ,/,/,无,2020-03-23 22:26,2020/03/23 22:27:50,开学,iPhone客户端,0,0,0
IzZbTumIC,5035986618,薇拉桃乐西,weibo.cn/5035986618/IzZbTumIC,True,我这是说的啥啊，刚开始觉得还好，现在越听越，。。呜呜呜，老师们还发给全系同学了😒😒😒😒全视频五分钟呢，自我感觉，，，，丢死人了……睡了睡了晚安🙂🙂还有同学和我说我现在是公众人物了，太优秀了，不得不说，开学这一个月我的付出和努力的确成正比！加油加油……继续努力……🥨  http://t.cn/A6zkNa29 ,/,/,无,2020-03-23 22:26,2020/03/23 22:27:50,开学,微博视频,0,0,0
IzZbSjfzd,5566940452,籽唯G,weibo.cn/5566940452/IzZbSjfzd,True,距离高考76天的晚上🌃1.四月初开学是不可能了，我的快递！满满的卷子又要到来了！2.周测理综突破最高分了，这告诉我们不能偏科，三科均匀才是好的。数学也是最高分了，但愿我是对数学开窍了，而不是个美丽的意外……3.想要减肥，坚持了一段时间不吃晚饭，可为什么又拿起了筷子？？？钉钉就给你半个小时休息，所以别光想着吃了…………4.小姜又直播了！？好频繁哦，这个速度震惊我了哈哈哈哈哈不说了我跑去看直播了！5.王大楠你在不营业我都不记得你什么样子了🙃😭 [组图共3张] 原图 ,/,/,无,2020-03-23 22:26,2020/03/23 22:27:50,开学,iPhone客户端,0,0,0
IzZbS3L4e,5873293633,从始至终都是七七,weibo.cn/5873293633/IzZbS3L4e,True,#四川开学#真的是那种期待了很久的事，但是拖很久了，突然就觉开不开学好久开学也无所谓了，我这是不是病了  ,/,/,无,2020-03-23 22:26,2020/03/23 22:27:50,开学,Redmi K20 Pro 尊享版,0,0,0
IzZbPEmUs,5985185982,Jacky之哈哈怪二敏,weibo.cn/5985185982/IzZbPEmUs,False,【开学！上课！】今早，全市22所普通高中和84所初中，3万余名高三、初三学生踏入校园开始正常教学。开学！上课！  [组图共6张] 原图 ,不要问为什么三中的镜头这么多  问就是玉溪日报社离三中最近//@玉溪日报社:开学！上课！  ,玉溪网,无,2020-03-23 22:26,2020/03/23 22:27:50,开学,AI实力派 vivo Z1,0,0,0
IzZbPEmny,5262164695,隔壁小橘_,weibo.cn/5262164695/IzZbPEmny,True,Day99希望背完的时候就已经开学了  [组图共2张] 原图 ,/,/,无,2020-03-23 22:26,2020/03/23 22:27:50,开学,Android,0,0,0
IzZbP7OEQ,5221840033,烟暖栀酒,weibo.cn/5221840033/IzZbP7OEQ,True,山东这边的大学今学期还能开学吗  ,/,/,无,2020-03-23 22:26,2020/03/23 22:27:50,开学,🍒🍻 Android,0,0,0
IzZbP4XMS,7271495886,寻mi之旅20609,weibo.cn/7271495886/IzZbP4XMS,False,#湖北荆州火车站即将恢复使用#3月23日开始消毒了，我终于恢复了我可以去上学了 醉挽清风丶江野的微博视频  ,转发微博  ,醉挽清风丶江野,无,2020-03-23 22:26,2020/03/23 22:27:50,开学,前后2000万 OPPO R11,0,0,0
IzZcd0QyS,6269852810,吾爱我兴,weibo.cn/6269852810/IzZcd0QyS,True,那我也不想开学  [组图共3张] 原图 ,/,/,无,2020-03-23 22:27,2020/03/23 22:28:29,开学,张艺兴的兴迷,0,0,0
IzZcbeGVX,5249610305,含泪吃了三大碗,weibo.cn/5249610305/IzZcbeGVX,True,#重庆开学时间#重庆教委被禁言了吗  ,/,/,无,2020-03-23 22:27,2020/03/23 22:28:29,开学,iPhone XR,0,0,0
IzZcaEjNA,1656737654,现代快报,weibo.cn/1656737654/IzZcaEjNA,True,#看校园春萌听校长说#【听校长说 | 二十九中校长唐云龙：抗疫，是一堂生动的课】终于，开学的脚步近了，校园里的春景也到了最美的时节。春天温暖的阳光，洒在南京市第二十九中学开阔的操场上，不禁让人回想，师生们在这里打太极拳的壮观场面，舞龙舞狮的动感画面……现代快报“看校园春萌·听校长说”系列活动本期聚焦名校南京市第二十九中学，一起来听南京市名校长、二十九中校长唐云龙说。@现代快报快快看视频  http://t.cn/A6zkNiFN http://t.cn/A6zkN9zj ,/,/,无,2020-03-23 22:27,2020/03/23 22:28:29,开学,360安全浏览器,0,0,0
IzZcao5ep,1687432241,Alvin阿绿,weibo.cn/1687432241/IzZcao5ep,True,快开学吧 上课半小时 纠发音三小时 今天又开始新一轮的喊麦 省里健康填报我们这群又是班主任又是老师的十八线主播太难了我还能出了趟门 领了口罩 改了套餐此刻刚改完作业 发群里提醒明天早上订正作业  原图 ,/,/,无,2020-03-23 22:27,2020/03/23 22:28:29,开学,iPad Pro,0,0,0
IzZca2UV9,5856769657,如果有如果or,weibo.cn/5856769657/IzZca2UV9,True,不想开学是我灵魂深处的呼唤赌上我爱吃的郑阿姨烤冷面  赌上我心爱的炒面筋  赌上我的奶茶门！  ,/,/,无,2020-03-23 22:27,2020/03/23 22:28:29,开学,荣耀8X,0,0,0
